respondent_id,age_group,region,city_tier,occupation,monthly_hh_income,education,marital_status,purchase_frequency,last_purchase_recency,monthly_spend_inr,avg_items_per_order,preferred_channel,purchase_occasion,has_returned_product,gifting_behaviour,products_interested,preferred_fabric,preferred_colors,preferred_prints,price_range_apparel,price_range_bedding,clothing_size,style_identity,brand_loyalty,madein_india_importance,discovery_channel,discount_preference,referral_propensity,current_satisfaction,main_pain_point,zaria_interest_label
ZF0011,35-44,West,Tier3,Salaried_Govt,15k-30k,Graduate,Married_with_kids,Monthly,1-3mo,2042,4-5,WhatsApp_Seller,Wedding,Unhappy_NoReturn,Occasionally,Kurti|Dupatta|NightSuit|SalwarSuit,CottonBlend,White|Pink,TieDye|BlockPrint,500-999,1500-2999,L,HomeFirst,NoBrandPreference,9,WhatsApp,LoyaltyPoints,5,5,LimitedDesign,1
ZF0012,18-24,West,Metro,Student,15k-30k,Graduate,Single,Weekly,<1mo,1168,4-5,YouTube|Meesho,Birthday|NoOccasion|NewYear,OnceOrTwice,SelfOnly,Kurti|CoordSet|Dupatta,Linen|Rayon,Pink|Red|Orange,Floral,<500,800-1499,L,FusionForward,ExperimentsFreely,1,YouTube|Instagram,FlatDiscount,10,6,DifficultReturn,2
ZF0013,45-55,West,Tier3,Salaried_Govt,15k-30k,12th,Married,Monthly,1-3mo,1034,1,Meesho|WhatsApp_Seller|Amazon,Holi|Eid|Birthday,OnceOrTwice,Rarely,NightSuit|Dupatta|Kurti,Cotton|CottonBlend,Pink,Embroidery|BlockPrint,1000-1999,1500-2999,3XL+,HomeFirst,StickTo1-2,8,WhatsApp|MeeshoApp,BundleCombo,4,6,FabricQuality,1
ZF0014,18-24,Central,Metro,Business,60k-1L,PostGrad,Married,Weekly,1-3mo,3771,2-3,Myntra|Amazon,NewYear|Birthday|Wedding,OnceOrTwice,Frequently,CoordSet|Kurti|Saree|NightSuit|IndoWestern,Rayon,White|Printed|Black,Embroidery|Solid,500-999,1500-2999,XL,EthnicComfort,ExperimentsFreely,6,Instagram,LoyaltyPoints,8,6,DifficultReturn,1
ZF0015,25-34,West,Tier2,Salaried_Govt,>1L,Graduate,Married,Monthly,>1yr,4226,2-3,MallStore|Myntra|D2C_Brand,Birthday|Wedding|NoOccasion,OnceOrTwice,Frequently,CoordSet|SalwarSuit|Kurti,Rayon|CottonBlend,Blue|Red|Black,Checks,2000-3999,1500-2999,L,EthnicComfort,ExperimentsFreely,4,YouTube|WordOfMouth|MeeshoApp,LoyaltyPoints,9,4,DifficultReturn,1
ZF0016,18-24,West,Metro,Freelancer,15k-30k,Graduate,Single,Weekly,<1mo,1189,1,Myntra|Instagram_Seller,NoOccasion,OnceOrTwice,SelfOnly,CoordSet|Kurti|IndoWestern,Rayon|Georgette,Orange,Solid|DigitalPrint,1000-1999,<800,XL,TraditionallyRooted,ExperimentsFreely,3,WhatsApp,FreeShipping,6,6,HighPrice,1
ZF0017,55+,South,Tier2,Homemaker,30k-60k,Below10th,Married_with_kids,Quarterly,>1yr,665,1,LocalStore,Birthday,OnceOrTwice,Frequently,Saree|Dupatta,Silk|CottonBlend,Green|Blue|Yellow,TieDye,1000-1999,<800,XXL,EthnicComfort,SwitchByPrice,9,PhysicalStore|WhatsApp,BundleCombo,5,6,LessTraditional,0
ZF0018,25-34,West,Tier3,Homemaker,<15k,12th,Married_with_kids,Quarterly,1-3mo,1662,2-3,Amazon|WhatsApp_Seller,Holi|Diwali|Birthday,NeverReturned,SelfOnly,SalwarSuit|BeddingSet|NightSuit|Kurti|Dupatta,Cotton|Silk,Pink,Solid|Floral|BlockPrint,1000-1999,1500-2999,M,EthnicComfort,NoBrandPreference,9,WordOfMouth|PhysicalStore|TV_Newspaper,FreeShipping,8,7,LimitedDesign,1
ZF0019,55+,East,Rural,Homemaker,<15k,12th,Single,OccasionOnly,>1yr,200,2-3,LocalStore,Diwali|Wedding|Birthday,NeverReturned,SelfOnly,Saree|NightSuit|BeddingSet,CottonBlend,Red,BlockPrint|TieDye|Floral,1000-1999,800-1499,L,OccasionDriven,SwitchByPrice,10,WordOfMouth,BundleCombo,7,6,HighPrice,0
ZF0020,45-55,South,Metro,Business,30k-60k,PostGrad,Married_with_kids,Quarterly,3-6mo,5533,2-3,Amazon,Diwali,Unhappy_NoReturn,Occasionally,SalwarSuit|BeddingSet|Saree|TowelSet,Silk|CottonBlend,White|Black,DigitalPrint|Embroidery,4000+,3000-5000,XL,OccasionDriven,ExperimentsFreely,7,PhysicalStore|Instagram,FestivalSale,1,7,SlowDelivery,1
ZF0021,18-24,East,Metro,Business,60k-1L,PostGrad,Married,Monthly,<1mo,4549,4-5,Myntra,NewYear|NoOccasion,OnceOrTwice,Occasionally,CoordSet|IndoWestern|Kurti|SalwarSuit,Georgette|Polyester,Beige|Blue|Pink,DigitalPrint,2000-3999,800-1499,S,EthnicComfort,ExperimentsFreely,3,Instagram|MeeshoApp,LoyaltyPoints,3,10,SlowDelivery,1
ZF0022,25-34,North,Metro,Business,<15k,12th,Married_with_kids,Monthly,3-6mo,638,6+,WhatsApp_Seller|Meesho,Diwali|Birthday|Wedding,Unhappy_NoReturn,Occasionally,SalwarSuit|Saree,CottonBlend,Pink|Green|Red,TieDye|Floral,500-999,800-1499,M,OccasionDriven,NoBrandPreference,8,WhatsApp|TV_Newspaper,FlatDiscount,4,4,LessTraditional,0
ZF0023,25-34,West,Metro,Freelancer,30k-60k,Graduate,Married,Monthly,3-6mo,2057,4-5,Amazon|Myntra,NoOccasion,MultipleReturns,Frequently,NightSuit|CoordSet,Rayon|Georgette,White|Yellow|Pink,Solid,500-999,1500-2999,M,FusionForward,SwitchByPrice,6,PhysicalStore|Instagram|WhatsApp,FreeShipping,3,6,FabricQuality,0
ZF0024,25-34,South,Metro,Freelancer,15k-30k,PostGrad,Married,Monthly,3-6mo,5053,2-3,Amazon,Diwali|Birthday|NoOccasion,NeverReturned,Occasionally,NightSuit|SalwarSuit|Kurti|CoordSet|IndoWestern,Georgette|Rayon,Printed|Pink,Floral|Solid|DigitalPrint,1000-1999,3000-5000,M,FusionForward,StickTo1-2,5,Instagram|WordOfMouth,FestivalSale,9,9,HighPrice,0
ZF0025,35-44,West,Tier3,Salaried_Govt,<15k,PostGrad,Other,Monthly,3-6mo,1027,1,Meesho|WhatsApp_Seller,Birthday|Diwali|Wedding,NeverReturned,Rarely,Saree|SalwarSuit|NightSuit|TowelSet,Rayon,Pink|Red|Orange,TieDye|Floral,<500,800-1499,M,OccasionDriven,ExperimentsFreely,6,WordOfMouth|WhatsApp,FlatDiscount,8,7,DifficultReturn,2
ZF0026,55+,Central,Tier2,Homemaker,<15k,PostGrad,Married_with_kids,Quarterly,<1mo,363,4-5,WordOfMouth,Wedding,OnceOrTwice,Occasionally,SalwarSuit|Saree,Cotton|Silk,Yellow,TieDye,500-999,<800,L,TraditionallyRooted,ExperimentsFreely,10,Instagram,Buy2Get1,7,6,FabricQuality,2
ZF0027,35-44,South,Tier3,Salaried_Pvt,30k-60k,12th,Married_with_kids,Monthly,6-12mo,6271,2-3,D2C_Brand,Holi,NeverReturned,Frequently,Kurti|CoordSet|Dupatta,Rayon,Black|Pink,DigitalPrint,4000+,1500-2999,XXL,FusionForward,SwitchByPrice,10,WordOfMouth|Instagram|PhysicalStore,FestivalSale,7,8,FabricQuality,0
ZF0028,18-24,South,Metro,Business,60k-1L,Graduate,Single,Bimonthly,<1mo,3865,2-3,MallStore|Amazon,Birthday,NeverReturned,Frequently,Kurti|CoordSet|IndoWestern,CottonBlend,White,TieDye|Geometric|Solid,1000-1999,800-1499,M,FusionForward,SwitchByPrice,9,WordOfMouth,FlatDiscount,6,7,SizingIssue,2
ZF0029,35-44,Central,Tier3,Salaried_Govt,<15k,Below10th,Married_with_kids,Quarterly,6-12mo,200,1,Amazon|WhatsApp_Seller,Wedding|Diwali|Eid,NeverReturned,Occasionally,Dupatta|Saree,Silk|Cotton,Blue|Red|White,BlockPrint,1000-1999,<800,3XL+,TraditionallyRooted,NoBrandPreference,8,WordOfMouth,LoyaltyPoints,5,3,LimitedDesign,1
ZF0030,18-24,West,Metro,Freelancer,60k-1L,Graduate,Other,OccasionOnly,6-12mo,4257,6+,MallStore|Amazon|Myntra,NoOccasion|Diwali,OnceOrTwice,Frequently,IndoWestern|CoordSet|SalwarSuit|Kurti,Rayon|Polyester,Blue|Black,Solid,2000-3999,3000-5000,M,EthnicComfort,ExperimentsFreely,5,YouTube|WordOfMouth,FreeShipping,6,6,FabricQuality,1
ZF0031,25-34,North,Rural,Salaried_Govt,15k-30k,12th,Other,OccasionOnly,>1yr,703,1,WhatsApp_Seller|LocalStore,Birthday|Holi,NeverReturned,Rarely,Dupatta|Saree|BeddingSet|TowelSet,Cotton|CottonBlend,Green|Printed,Checks,500-999,<800,XL,EthnicComfort,StickTo1-2,8,WhatsApp|WordOfMouth,FlatDiscount,3,4,HighPrice,1
ZF0032,25-34,North,Metro,Homemaker,>1L,Graduate,Married,OccasionOnly,<1mo,6032,2-3,D2C_Brand,NewYear|Diwali,OnceOrTwice,Occasionally,SalwarSuit|Saree|BeddingSet,Silk,White|Black,Embroidery|Floral,4000+,3000-5000,3XL+,HomeFirst,StickTo1-2,9,Instagram,FreeShipping,4,5,SizingIssue,1
ZF0033,25-34,East,Rural,Homemaker,<15k,Below10th,Married,Monthly,>1yr,951,1,WhatsApp_Seller,Birthday|Diwali|Wedding,OnceOrTwice,SelfOnly,NightSuit,Cotton,Orange|Yellow,BlockPrint,<500,800-1499,S,TraditionallyRooted,NoBrandPreference,7,WordOfMouth,BundleCombo,4,5,FabricQuality,1
ZF0034,45-55,East,Tier2,Homemaker,<15k,12th,Married,OccasionOnly,3-6mo,802,1,Amazon|Meesho,Diwali|Wedding|Holi,NeverReturned,Rarely,BeddingSet|SalwarSuit,Cotton,Yellow|Red,DigitalPrint|Embroidery|Floral,1000-1999,<800,XL,OccasionDriven,StickTo1-2,8,MeeshoApp|WhatsApp|WordOfMouth,Buy2Get1,5,1,FabricQuality,1
ZF0035,25-34,East,Metro,Homemaker,15k-30k,Graduate,Married,Weekly,<1mo,2297,1,Meesho|Instagram_Seller,NewYear|NoOccasion|Diwali,MultipleReturns,Frequently,Dupatta|Kurti,Georgette,White|Printed,Geometric,1000-1999,<800,L,OccasionDriven,StickTo1-2,4,MeeshoApp|YouTube,Buy2Get1,6,7,LimitedDesign,2
ZF0036,Under18,North,Tier2,Student,<15k,Graduate,Single,Weekly,6-12mo,716,2-3,Myntra,Wedding|Birthday,MultipleReturns,Occasionally,IndoWestern|Dupatta|CoordSet|Kurti,Georgette,Red,Floral|Geometric|DigitalPrint,2000-3999,3000-5000,M,FusionForward,SwitchByPrice,3,YouTube|MeeshoApp,FlatDiscount,10,3,HighPrice,1
ZF0037,Under18,South,Tier2,Student,15k-30k,Below10th,Single,Monthly,6-12mo,1816,2-3,Amazon|Myntra|D2C_Brand,NoOccasion|Birthday|Diwali,MultipleReturns,Rarely,CoordSet|Kurti|IndoWestern|Dupatta,Rayon,Blue|Green,Solid|Floral|DigitalPrint,2000-3999,<800,XL,TraditionallyRooted,StickTo1-2,7,WhatsApp,Buy2Get1,8,7,SizingIssue,0
ZF0038,55+,North,Rural,Salaried_Pvt,>1L,Graduate,Married,Quarterly,3-6mo,1343,1,WhatsApp_Seller|WordOfMouth,Holi|Diwali|Wedding,OnceOrTwice,Frequently,NightSuit|SalwarSuit|TowelSet|Saree,Polyester|Cotton,Red,Embroidery|TieDye|Floral,1000-1999,<800,XXL,TraditionallyRooted,StickTo1-2,10,WordOfMouth,BundleCombo,7,3,LessTraditional,0
ZF0039,35-44,NorthEast,Tier2,Business,15k-30k,Below10th,Married_with_kids,Monthly,6-12mo,1445,1,WordOfMouth,Diwali|Wedding|Birthday,OnceOrTwice,Frequently,Saree,CottonBlend|Cotton,Green,BlockPrint|Embroidery|TieDye,1000-1999,800-1499,XL,EthnicComfort,StickTo1-2,9,WhatsApp|WordOfMouth,FlatDiscount,6,5,LessTraditional,1
ZF0040,35-44,NorthEast,Tier3,Salaried_Govt,>1L,PostGrad,Married_with_kids,Quarterly,6-12mo,1161,1,WhatsApp_Seller,Diwali,Unhappy_NoReturn,SelfOnly,NightSuit,Silk,Yellow|Red,Embroidery|Solid,1000-1999,<800,S,OccasionDriven,ExperimentsFreely,6,TV_Newspaper,FlatDiscount,7,3,LessTraditional,1
ZF0041,35-44,South,Rural,Salaried_Pvt,15k-30k,Below10th,Other,OccasionOnly,6-12mo,1481,1,Meesho,Holi,NeverReturned,SelfOnly,SalwarSuit|Kurti,Cotton|Rayon,Printed,BlockPrint|Floral,<500,800-1499,XL,HomeFirst,ExperimentsFreely,6,Instagram|MeeshoApp,FestivalSale,7,7,SizingIssue,0
ZF0042,35-44,North,Tier2,Business,<15k,Below10th,Single,Weekly,1-3mo,2453,4-5,LocalStore|Meesho,Wedding,Unhappy_NoReturn,Rarely,SalwarSuit|NightSuit|Saree|Kurti,CottonBlend,Pink,Floral|TieDye|BlockPrint,1000-1999,800-1499,M,OccasionDriven,SwitchByPrice,7,MeeshoApp|PhysicalStore|WordOfMouth,FestivalSale,2,5,FabricQuality,0
ZF0043,25-34,North,Tier2,Retired,>1L,Graduate,Married_with_kids,Bimonthly,<1mo,11326,1,MallStore,NewYear,NeverReturned,SelfOnly,BeddingSet|Kurti,CottonBlend,Beige|Green,BlockPrint,1000-1999,5000+,L,TraditionallyRooted,ExperimentsFreely,6,PhysicalStore|YouTube,FreeShipping,4,7,HighPrice,2
ZF0044,35-44,South,Rural,Homemaker,15k-30k,12th,Married_with_kids,Monthly,6-12mo,1227,4-5,WordOfMouth|WhatsApp_Seller,Holi|Eid,Unhappy_NoReturn,Occasionally,Saree,Cotton,Red|Green|Yellow,BlockPrint|TieDye,<500,<800,M,OccasionDriven,ExperimentsFreely,8,PhysicalStore,FlatDiscount,9,4,FabricQuality,0
ZF0045,45-55,South,Metro,Business,30k-60k,PostGrad,Other,Bimonthly,1-3mo,4678,2-3,MallStore|D2C_Brand,Diwali|Birthday,NeverReturned,Frequently,BeddingSet|Saree|TowelSet,Cotton|Polyester,Blue|Red,Solid|BlockPrint|Floral,2000-3999,3000-5000,M,HomeFirst,SwitchByPrice,8,TV_Newspaper,LoyaltyPoints,5,9,DifficultReturn,2
ZF0046,18-24,South,Metro,Salaried_Pvt,60k-1L,PostGrad,Married,Bimonthly,<1mo,4823,4-5,Myntra|Meesho,NoOccasion|Diwali,OnceOrTwice,Occasionally,Kurti|SalwarSuit|CoordSet|IndoWestern|BeddingSet,CottonBlend,Pink,Embroidery|Floral|Solid,1000-1999,800-1499,M,OccasionDriven,ExperimentsFreely,8,YouTube|Instagram,FestivalSale,8,8,FabricQuality,1
ZF0047,18-24,North,Tier2,Salaried_Pvt,60k-1L,Graduate,Other,Weekly,3-6mo,5321,4-5,Myntra|D2C_Brand,Wedding|NoOccasion,OnceOrTwice,Rarely,CoordSet|SalwarSuit,Cotton,Beige|White|Red,BlockPrint,2000-3999,<800,L,FusionForward,NoBrandPreference,6,YouTube|Instagram,FlatDiscount,5,5,SlowDelivery,0
ZF0048,55+,North,Rural,Homemaker,15k-30k,Graduate,Married_with_kids,Monthly,6-12mo,200,1,WordOfMouth|WhatsApp_Seller,Diwali|Birthday|Wedding,NeverReturned,Occasionally,SalwarSuit|BeddingSet,CottonBlend,Pink|Red|Blue,TieDye|BlockPrint,<500,800-1499,M,FusionForward,StickTo1-2,10,WordOfMouth,FreeShipping,7,4,HighPrice,0
ZF0049,45-55,East,Tier3,Business,15k-30k,Below10th,Married_with_kids,OccasionOnly,<1mo,856,2-3,Amazon,Wedding|Holi|Diwali,Unhappy_NoReturn,Rarely,BeddingSet|SalwarSuit|Kurti|Saree,Rayon,Yellow|Red,BlockPrint|Embroidery|Floral,500-999,3000-5000,XS,OccasionDriven,NoBrandPreference,9,TV_Newspaper|MeeshoApp,Buy2Get1,8,6,LimitedDesign,2
ZF0050,25-34,NorthEast,Tier3,Freelancer,30k-60k,12th,Other,Bimonthly,<1mo,1910,1,Meesho|Amazon,Wedding,MultipleReturns,SelfOnly,IndoWestern|SalwarSuit|CoordSet,CottonBlend|Cotton,Blue,DigitalPrint|Solid,1000-1999,800-1499,L,OccasionDriven,SwitchByPrice,7,WordOfMouth,FestivalSale,6,4,FabricQuality,2
ZF0051,45-55,NorthEast,Metro,Business,30k-60k,Graduate,Married,Quarterly,6-12mo,4772,1,Amazon|D2C_Brand|Myntra,Wedding,OnceOrTwice,Occasionally,IndoWestern|Kurti|CoordSet,Cotton|Georgette,Beige,Geometric|Solid|Floral,4000+,<800,3XL+,EthnicComfort,StickTo1-2,2,Instagram|MeeshoApp,FlatDiscount,6,5,DifficultReturn,1
ZF0052,45-55,East,Tier3,Homemaker,15k-30k,12th,Married,Quarterly,<1mo,2499,4-5,Meesho|WhatsApp_Seller|Amazon,Eid|Holi|Birthday,OnceOrTwice,Frequently,Dupatta|Kurti|SalwarSuit,Rayon,Pink,BlockPrint|Floral|Embroidery,500-999,1500-2999,L,HomeFirst,SwitchByPrice,10,Instagram|PhysicalStore|TV_Newspaper,Buy2Get1,5,6,HighPrice,1
ZF0053,55+,North,Tier2,Retired,<15k,Below10th,Married,OccasionOnly,6-12mo,553,1,WhatsApp_Seller|LocalStore,Wedding|Holi,NeverReturned,Occasionally,NightSuit|Saree|SalwarSuit,Cotton|CottonBlend,Yellow|Red,Embroidery|Floral|BlockPrint,1000-1999,<800,S,TraditionallyRooted,StickTo1-2,7,PhysicalStore|WordOfMouth,Buy2Get1,5,3,LimitedDesign,0
ZF0054,55+,NorthEast,Tier3,Business,<15k,Below10th,Married,OccasionOnly,6-12mo,1892,6+,Meesho,Diwali|Holi,OnceOrTwice,Occasionally,SalwarSuit|CoordSet|NightSuit|BeddingSet,Cotton|Polyester,Blue|Red,Floral|BlockPrint,1000-1999,1500-2999,L,EthnicComfort,SwitchByPrice,9,WordOfMouth,BundleCombo,6,4,FabricQuality,2
ZF0055,35-44,South,Tier3,Homemaker,60k-1L,Graduate,Single,OccasionOnly,6-12mo,1730,1,LocalStore|Meesho,Holi,Unhappy_NoReturn,SelfOnly,SalwarSuit|Kurti,Rayon|CottonBlend,Green|Red|Yellow,BlockPrint|Solid|Embroidery,2000-3999,1500-2999,L,EthnicComfort,SwitchByPrice,7,Instagram,Buy2Get1,6,5,SizingIssue,0
ZF0056,18-24,West,Metro,Freelancer,15k-30k,12th,Single,Bimonthly,<1mo,446,1,Instagram_Seller|Myntra|YouTube,Birthday|NoOccasion|NewYear,NeverReturned,SelfOnly,CoordSet|NightSuit|IndoWestern|BeddingSet,Cotton,Black|Printed|White,Floral|DigitalPrint|Geometric,500-999,5000+,L,FusionForward,ExperimentsFreely,4,Instagram|MeeshoApp|WordOfMouth,FreeShipping,7,10,SizingIssue,1
ZF0057,35-44,Central,Tier3,Homemaker,15k-30k,Below10th,Married_with_kids,Monthly,1-3mo,1502,2-3,WhatsApp_Seller|Amazon,Birthday|Wedding|Diwali,NeverReturned,Frequently,SalwarSuit|NightSuit|Saree|Dupatta,CottonBlend,Pink|Yellow,Embroidery,1000-1999,800-1499,S,EthnicComfort,NoBrandPreference,6,Instagram|WordOfMouth,FlatDiscount,4,6,HighPrice,1
ZF0058,35-44,North,Metro,Freelancer,>1L,PostGrad,Single,Bimonthly,<1mo,5294,2-3,Myntra,NoOccasion|NewYear|Birthday,NeverReturned,Frequently,BeddingSet|SalwarSuit|IndoWestern,Cotton,Orange,Floral|Geometric|Embroidery,<500,1500-2999,XL,EthnicComfort,SwitchByPrice,6,WhatsApp|Instagram|PhysicalStore,LoyaltyPoints,6,4,SlowDelivery,1
ZF0059,25-34,East,Rural,Business,<15k,Below10th,Married,OccasionOnly,3-6mo,200,1,LocalStore,Diwali|Wedding|Eid,NeverReturned,Occasionally,NightSuit|Kurti,Rayon,Yellow|Black,TieDye|Embroidery,<500,800-1499,XXL,TraditionallyRooted,SwitchByPrice,8,PhysicalStore|WordOfMouth,BundleCombo,7,2,HighPrice,1
ZF0060,45-55,West,Metro,Business,>1L,PostGrad,Married_with_kids,Quarterly,3-6mo,7077,4-5,Myntra|D2C_Brand,Diwali,NeverReturned,Frequently,Saree|SalwarSuit|BeddingSet|TowelSet,Linen|CottonBlend,Red|Blue,Solid,2000-3999,3000-5000,XS,HomeFirst,ExperimentsFreely,8,WhatsApp|Instagram,LoyaltyPoints,5,5,DifficultReturn,0
ZF0061,25-34,South,Rural,Salaried_Govt,<15k,Graduate,Married_with_kids,Monthly,6-12mo,200,2-3,WhatsApp_Seller,Diwali|Holi,NeverReturned,Rarely,BeddingSet,Cotton|CottonBlend,Orange,TieDye,<500,800-1499,XXL,FusionForward,SwitchByPrice,9,WordOfMouth,Buy2Get1,4,4,HighPrice,1
ZF0062,35-44,West,Metro,Salaried_Pvt,>1L,Graduate,Single,Weekly,1-3mo,2157,4-5,Myntra|D2C_Brand|Meesho,Birthday|Diwali,NeverReturned,Frequently,CoordSet|Kurti|BeddingSet,Georgette|Rayon,White,DigitalPrint|Floral|Geometric,<500,3000-5000,XXL,TraditionallyRooted,SwitchByPrice,5,Instagram|MeeshoApp|WhatsApp,LoyaltyPoints,4,10,LimitedDesign,0
ZF0063,45-55,North,Tier3,Homemaker,15k-30k,Below10th,Married,Quarterly,6-12mo,557,2-3,Meesho|LocalStore,Wedding|Diwali|NoOccasion,Unhappy_NoReturn,Rarely,SalwarSuit|NightSuit,CottonBlend,Red|Printed|Beige,BlockPrint|Embroidery|TieDye,<500,<800,L,OccasionDriven,NoBrandPreference,8,WhatsApp,FestivalSale,5,1,SizingIssue,1
ZF0064,35-44,West,Metro,Salaried_Pvt,>1L,Graduate,Married_with_kids,Bimonthly,6-12mo,4088,4-5,MallStore|D2C_Brand|Myntra,NoOccasion,NeverReturned,Frequently,Kurti|CoordSet,Georgette,Printed|Blue,Geometric,1000-1999,1500-2999,M,OccasionDriven,SwitchByPrice,4,MeeshoApp,FlatDiscount,5,5,DifficultReturn,2
ZF0065,25-34,West,Metro,Student,30k-60k,12th,Single,Weekly,3-6mo,1352,6+,Meesho,NewYear|Birthday|Diwali,MultipleReturns,Frequently,CoordSet|IndoWestern|Kurti|NightSuit,CottonBlend|Linen,Black|Red|Printed,Geometric|Solid,1000-1999,<800,L,FusionForward,ExperimentsFreely,5,Instagram|YouTube|TV_Newspaper,Buy2Get1,6,6,LimitedDesign,1
ZF0066,25-34,South,Metro,Student,15k-30k,12th,Single,Bimonthly,<1mo,744,1,Meesho,Holi|Birthday|NewYear,NeverReturned,Rarely,NightSuit|Dupatta,Rayon|Polyester,White|Blue|Printed,Geometric|DigitalPrint|Floral,2000-3999,<800,L,FusionForward,ExperimentsFreely,2,WordOfMouth,Buy2Get1,5,7,HighPrice,1
ZF0067,25-34,West,Tier2,Salaried_Govt,30k-60k,Graduate,Married_with_kids,Bimonthly,3-6mo,856,4-5,LocalStore,Diwali|Wedding|Eid,NeverReturned,Occasionally,NightSuit|Dupatta,Rayon,Green,TieDye|Embroidery,2000-3999,1500-2999,XL,TraditionallyRooted,SwitchByPrice,7,WordOfMouth|WhatsApp,BundleCombo,6,4,HighPrice,1
